timestamp,function_ran,n_threads_used,cpu_percent,memory_percent
2025-07-17T13:43:46.592827+00:00,prime,2,0,10.5
2025-07-17T13:43:47.593193+00:00,prime,2,14,10.6
2025-07-17T13:43:48.593631+00:00,prime,2,14,10.7
2025-07-17T13:43:49.594181+00:00,prime,2,14,10.7
2025-07-17T13:43:50.594821+00:00,prime,2,14,10.8
2025-07-17T13:43:51.595434+00:00,prime,2,14,10.8
2025-07-17T13:43:52.595911+00:00,prime,2,14,10.8
2025-07-17T13:43:53.596920+00:00,prime,2,4,10.5
2025-07-17T13:43:54.598216+00:00,prime,2,0,10.5
2025-07-17T13:43:55.599047+00:00,prime,2,1,10.5
2025-07-17T13:43:56.599890+00:00,prime,2,0,10.5
2025-07-17T13:43:57.600427+00:00,prime,2,0,10.5
2025-07-17T13:43:58.600977+00:00,prime,3,14,10.6
2025-07-17T13:43:59.601648+00:00,prime,3,20,10.7
2025-07-17T13:44:00.602451+00:00,prime,3,20,10.8
2025-07-17T13:44:01.603098+00:00,prime,3,20,10.9
2025-07-17T13:44:02.603639+00:00,prime,3,19,10.9
2025-07-17T13:44:03.604268+00:00,prime,3,20,10.9
2025-07-17T13:44:04.604857+00:00,prime,3,19,10.9
2025-07-17T13:44:05.605658+00:00,prime,3,4,10.5
2025-07-17T13:44:06.606225+00:00,prime,3,1,10.5
2025-07-17T13:44:07.606941+00:00,prime,3,1,10.5
2025-07-17T13:44:08.607561+00:00,prime,3,0,10.5
2025-07-17T13:44:09.608188+00:00,prime,3,0,10.5
2025-07-17T13:44:10.608805+00:00,prime,4,18,10.6
2025-07-17T13:44:11.609326+00:00,prime,4,27,10.8
2025-07-17T13:44:12.609954+00:00,prime,4,27,10.9
2025-07-17T13:44:13.610691+00:00,prime,4,26,11.0
2025-07-17T13:44:14.611187+00:00,prime,4,25,11.1
2025-07-17T13:44:15.611799+00:00,prime,4,27,11.1
2025-07-17T13:44:16.612414+00:00,prime,4,26,11.1
2025-07-17T13:44:17.612947+00:00,prime,4,15,10.5
2025-07-17T13:44:18.613403+00:00,prime,4,1,10.5
2025-07-17T13:44:19.614417+00:00,prime,4,0,10.5
2025-07-17T13:44:20.615650+00:00,prime,4,0,10.5
2025-07-17T13:44:21.616666+00:00,prime,4,0,10.5
2025-07-17T13:44:22.617359+00:00,prime,5,12,10.7
2025-07-17T13:44:23.617986+00:00,prime,5,33,10.8
2025-07-17T13:44:24.618628+00:00,prime,5,34,10.9
2025-07-17T13:44:25.619219+00:00,prime,5,32,11.1
2025-07-17T13:44:26.619851+00:00,prime,5,33,11.1
2025-07-17T13:44:27.620930+00:00,prime,5,32,11.2
2025-07-17T13:44:28.621476+00:00,prime,5,33,11.2
2025-07-17T13:44:29.622105+00:00,prime,5,32,11.1
2025-07-17T13:44:30.622617+00:00,prime,5,8,10.5
2025-07-17T13:44:31.623169+00:00,prime,5,0,10.5
2025-07-17T13:44:32.624219+00:00,prime,5,1,10.5
2025-07-17T13:44:33.624986+00:00,prime,5,0,10.5
2025-07-17T13:44:34.625862+00:00,prime,5,0,10.5
2025-07-17T13:44:35.626742+00:00,prime,6,26,10.7
2025-07-17T13:44:36.627204+00:00,prime,6,40,10.9
2025-07-17T13:44:37.627987+00:00,prime,6,39,11.0
2025-07-17T13:44:38.628576+00:00,prime,6,40,11.2
2025-07-17T13:44:39.629247+00:00,prime,6,39,11.2
2025-07-17T13:44:40.629785+00:00,prime,6,39,11.3
2025-07-17T13:44:41.630477+00:00,prime,6,39,11.4
2025-07-17T13:44:42.631578+00:00,prime,6,39,11.2
2025-07-17T13:44:43.632320+00:00,prime,6,11,10.6
2025-07-17T13:44:44.633565+00:00,prime,6,1,10.6
2025-07-17T13:44:45.634412+00:00,prime,6,0,10.6
2025-07-17T13:44:46.635110+00:00,prime,6,1,10.6
2025-07-17T13:44:47.636252+00:00,prime,6,0,10.6
2025-07-17T13:44:48.636784+00:00,prime,7,24,10.8
2025-07-17T13:44:49.637379+00:00,prime,7,44,10.9
2025-07-17T13:44:50.637912+00:00,prime,7,46,11.0
2025-07-17T13:44:51.638598+00:00,prime,7,44,11.2
2025-07-17T13:44:52.639137+00:00,prime,7,45,11.3
2025-07-17T13:44:53.639756+00:00,prime,7,45,11.4
2025-07-17T13:44:54.640340+00:00,prime,7,45,11.4
2025-07-17T13:44:55.640884+00:00,prime,7,45,11.5
2025-07-17T13:44:56.641420+00:00,prime,7,40,10.9
2025-07-17T13:44:57.642059+00:00,prime,7,2,10.5
2025-07-17T13:44:58.643043+00:00,prime,7,1,10.5
2025-07-17T13:44:59.643845+00:00,prime,7,0,10.5
2025-07-17T13:45:00.644796+00:00,prime,7,0,10.5
2025-07-17T13:45:01.645402+00:00,prime,7,0,10.5
2025-07-17T13:45:02.645865+00:00,prime,8,45,10.9
2025-07-17T13:45:03.646482+00:00,prime,8,52,11.0
2025-07-17T13:45:04.647453+00:00,prime,8,51,11.1
2025-07-17T13:45:05.648492+00:00,prime,8,52,11.3
2025-07-17T13:45:06.649018+00:00,prime,8,51,11.4
2025-07-17T13:45:07.649598+00:00,prime,8,52,11.5
2025-07-17T13:45:08.650457+00:00,prime,8,51,11.6
2025-07-17T13:45:09.650971+00:00,prime,8,51,11.7
2025-07-17T13:45:10.651524+00:00,prime,8,50,11.6
2025-07-17T13:45:11.652027+00:00,prime,8,11,10.6
2025-07-17T13:45:12.652680+00:00,prime,8,0,10.6
2025-07-17T13:45:13.653181+00:00,prime,8,1,10.5
2025-07-17T13:45:14.653785+00:00,prime,8,0,10.5
2025-07-17T13:45:15.654282+00:00,prime,8,1,10.5
2025-07-17T13:45:16.654856+00:00,prime,9,34,10.8
2025-07-17T13:45:17.655424+00:00,prime,9,58,11.0
2025-07-17T13:45:18.656028+00:00,prime,9,58,11.1
2025-07-17T13:45:19.657202+00:00,prime,9,58,11.3
2025-07-17T13:45:20.657797+00:00,prime,9,57,11.5
2025-07-17T13:45:21.658398+00:00,prime,9,57,11.6
2025-07-17T13:45:22.659030+00:00,prime,9,57,11.6
2025-07-17T13:45:23.659655+00:00,prime,9,58,11.7
2025-07-17T13:45:24.660282+00:00,prime,9,57,11.7
2025-07-17T13:45:25.660941+00:00,prime,9,52,10.6
2025-07-17T13:45:26.661475+00:00,prime,9,1,10.4
2025-07-17T13:45:27.662261+00:00,prime,9,0,10.5
2025-07-17T13:45:28.663314+00:00,prime,9,0,10.5
2025-07-17T13:45:29.664397+00:00,prime,9,0,10.5
2025-07-17T13:45:30.665802+00:00,prime,9,1,10.5
2025-07-17T13:45:31.666507+00:00,prime,10,58,10.8
2025-07-17T13:45:32.667051+00:00,prime,10,64,11.0
2025-07-17T13:45:33.667691+00:00,prime,10,64,11.1
2025-07-17T13:45:34.668379+00:00,prime,10,63,11.4
2025-07-17T13:45:35.669206+00:00,prime,10,64,11.5
2025-07-17T13:45:36.669732+00:00,prime,10,64,11.5
2025-07-17T13:45:37.670313+00:00,prime,10,64,11.6
2025-07-17T13:45:38.671035+00:00,prime,10,63,11.7
2025-07-17T13:45:39.671605+00:00,prime,10,63,11.7
2025-07-17T13:45:40.672188+00:00,prime,10,64,11.8
2025-07-17T13:45:41.672878+00:00,prime,10,42,10.4
2025-07-17T13:45:42.673922+00:00,prime,10,1,10.4
2025-07-17T13:45:43.674591+00:00,prime,10,0,10.4
2025-07-17T13:45:44.675710+00:00,prime,10,0,10.4
2025-07-17T13:45:45.676327+00:00,prime,10,0,10.4
2025-07-17T13:45:46.676879+00:00,prime,11,8,10.6
2025-07-17T13:45:47.677424+00:00,prime,11,70,10.9
2025-07-17T13:45:48.677961+00:00,prime,11,70,11.0
2025-07-17T13:45:49.678515+00:00,prime,11,69,11.2
2025-07-17T13:45:50.679061+00:00,prime,11,70,11.3
2025-07-17T13:45:51.679735+00:00,prime,11,70,11.6
2025-07-17T13:45:52.680681+00:00,prime,11,70,11.7
2025-07-17T13:45:53.681572+00:00,prime,11,70,11.8
2025-07-17T13:45:54.682171+00:00,prime,11,70,11.8
2025-07-17T13:45:55.684022+00:00,prime,11,69,11.9
2025-07-17T13:45:56.684691+00:00,prime,11,70,11.9
2025-07-17T13:45:57.685374+00:00,prime,11,70,12.0
2025-07-17T13:45:58.686149+00:00,prime,11,58,10.6
2025-07-17T13:45:59.687536+00:00,prime,11,1,10.4
2025-07-17T13:46:00.688521+00:00,prime,11,0,10.4
2025-07-17T13:46:01.689179+00:00,prime,11,0,10.4
2025-07-17T13:46:02.689881+00:00,prime,11,1,10.4
2025-07-17T13:46:03.690405+00:00,prime,11,0,10.4
2025-07-17T13:46:04.690862+00:00,prime,12,74,10.9
2025-07-17T13:46:05.691545+00:00,prime,12,76,11.1
2025-07-17T13:46:06.692178+00:00,prime,12,76,11.3
2025-07-17T13:46:07.692817+00:00,prime,12,76,11.3
2025-07-17T13:46:08.693411+00:00,prime,12,76,11.7
2025-07-17T13:46:09.694118+00:00,prime,12,76,11.8
2025-07-17T13:46:10.694740+00:00,prime,12,76,11.8
2025-07-17T13:46:11.695448+00:00,prime,12,76,11.9
2025-07-17T13:46:12.696027+00:00,prime,12,77,11.9
2025-07-17T13:46:13.696811+00:00,prime,12,76,12.0
2025-07-17T13:46:14.697689+00:00,prime,12,76,12.1
2025-07-17T13:46:15.702392+00:00,prime,12,76,12.1
2025-07-17T13:46:16.703081+00:00,prime,12,76,11.8
2025-07-17T13:46:17.703695+00:00,prime,12,8,10.4
2025-07-17T13:46:18.704334+00:00,prime,12,0,10.4
2025-07-17T13:46:19.704831+00:00,prime,12,1,10.4
2025-07-17T13:46:20.705370+00:00,prime,12,0,10.4
2025-07-17T13:46:21.706032+00:00,prime,12,1,10.4
2025-07-17T13:46:22.706696+00:00,prime,13,62,10.9
2025-07-17T13:46:23.707313+00:00,prime,13,82,11.0
2025-07-17T13:46:24.708161+00:00,prime,13,82,11.2
2025-07-17T13:46:25.708778+00:00,prime,13,82,11.3
2025-07-17T13:46:26.709536+00:00,prime,13,82,11.4
2025-07-17T13:46:27.710526+00:00,prime,13,83,11.8
2025-07-17T13:46:28.711205+00:00,prime,13,82,11.9
2025-07-17T13:46:29.711916+00:00,prime,13,82,11.9
2025-07-17T13:46:30.712626+00:00,prime,13,82,12.0
2025-07-17T13:46:31.714431+00:00,prime,13,82,12.1
2025-07-17T13:46:32.715306+00:00,prime,13,82,12.1
2025-07-17T13:46:33.716048+00:00,prime,13,82,12.2
2025-07-17T13:46:34.716833+00:00,prime,13,82,12.3
2025-07-17T13:46:35.717575+00:00,prime,13,82,12.3
2025-07-17T13:46:36.718360+00:00,prime,13,63,10.4
2025-07-17T13:46:37.718969+00:00,prime,13,1,10.4
2025-07-17T13:46:38.719603+00:00,prime,13,0,10.4
2025-07-17T13:46:39.720209+00:00,prime,13,1,10.4
2025-07-17T13:46:40.720931+00:00,prime,13,0,10.4
2025-07-17T13:46:41.721459+00:00,prime,14,8,10.7
2025-07-17T13:46:42.722024+00:00,prime,14,88,11.0
2025-07-17T13:46:43.722587+00:00,prime,14,89,11.1
2025-07-17T13:46:44.723174+00:00,prime,14,88,11.3
2025-07-17T13:46:45.723882+00:00,prime,14,88,11.4
2025-07-17T13:46:46.724528+00:00,prime,14,88,11.5
2025-07-17T13:46:47.725193+00:00,prime,14,89,11.9
2025-07-17T13:46:48.725892+00:00,prime,14,88,11.9
2025-07-17T13:46:49.726580+00:00,prime,14,88,12.0
2025-07-17T13:46:50.727368+00:00,prime,14,88,12.1
2025-07-17T13:46:51.728037+00:00,prime,14,88,12.1
2025-07-17T13:46:52.728675+00:00,prime,14,88,12.2
2025-07-17T13:46:53.729374+00:00,prime,14,88,12.3
2025-07-17T13:46:54.730062+00:00,prime,14,88,12.3
2025-07-17T13:46:55.730718+00:00,prime,14,88,12.4
2025-07-17T13:46:56.731781+00:00,prime,14,89,12.5
2025-07-17T13:46:57.732635+00:00,prime,14,70,10.4
2025-07-17T13:46:58.733219+00:00,prime,14,1,10.4
2025-07-17T13:46:59.733887+00:00,prime,14,0,10.4
2025-07-17T13:47:00.734414+00:00,prime,14,0,10.4
2025-07-17T13:47:01.735011+00:00,prime,14,0,10.4
2025-07-17T13:47:02.735521+00:00,prime,15,5,10.7
2025-07-17T13:47:03.736126+00:00,prime,15,94,11.0
2025-07-17T13:47:04.736719+00:00,prime,15,95,11.2
2025-07-17T13:47:05.737270+00:00,prime,15,94,11.4
2025-07-17T13:47:06.737944+00:00,prime,15,95,11.5
2025-07-17T13:47:07.738598+00:00,prime,15,94,11.6
2025-07-17T13:47:08.739267+00:00,prime,15,95,11.8
2025-07-17T13:47:09.741967+00:00,prime,15,94,12.1
2025-07-17T13:47:10.742828+00:00,prime,15,94,12.2
2025-07-17T13:47:11.743515+00:00,prime,15,94,12.2
2025-07-17T13:47:12.744193+00:00,prime,15,95,12.3
2025-07-17T13:47:13.744805+00:00,prime,15,94,12.3
2025-07-17T13:47:14.745439+00:00,prime,15,95,12.4
2025-07-17T13:47:15.746194+00:00,prime,15,94,12.5
2025-07-17T13:47:16.746902+00:00,prime,15,95,12.5
2025-07-17T13:47:17.747975+00:00,prime,15,94,12.6
2025-07-17T13:47:18.748614+00:00,prime,15,95,12.7
2025-07-17T13:47:19.749430+00:00,prime,15,55,10.4
2025-07-17T13:47:20.750060+00:00,prime,15,0,10.4
2025-07-17T13:47:21.750605+00:00,prime,15,0,10.4
2025-07-17T13:47:22.751361+00:00,prime,15,0,10.4
2025-07-17T13:47:23.751914+00:00,prime,15,0,10.4
2025-07-17T13:47:24.752412+00:00,prime,16,20,10.8
2025-07-17T13:47:25.753917+00:00,prime,16,100,11.1
2025-07-17T13:47:26.754451+00:00,prime,16,100,11.3
2025-07-17T13:47:27.755009+00:00,prime,16,100,11.5
2025-07-17T13:47:28.755558+00:00,prime,16,100,11.6
2025-07-17T13:47:29.756103+00:00,prime,16,100,11.8
2025-07-17T13:47:30.756756+00:00,prime,16,100,12.1
2025-07-17T13:47:31.757470+00:00,prime,16,100,12.2
2025-07-17T13:47:32.758053+00:00,prime,16,100,12.2
2025-07-17T13:47:33.758687+00:00,prime,16,100,12.3
2025-07-17T13:47:34.759277+00:00,prime,16,100,12.4
2025-07-17T13:47:35.760116+00:00,prime,16,100,12.4
2025-07-17T13:47:36.760828+00:00,prime,16,100,12.5
2025-07-17T13:47:37.761492+00:00,prime,16,100,12.6
2025-07-17T13:47:38.762111+00:00,prime,16,100,12.6
2025-07-17T13:47:39.762711+00:00,prime,16,100,12.7
2025-07-17T13:47:40.767136+00:00,prime,16,100,12.8
2025-07-17T13:47:41.768079+00:00,prime,16,45,10.4
2025-07-17T13:47:42.768980+00:00,prime,16,1,10.4
2025-07-17T13:47:43.769727+00:00,prime,16,1,10.4
2025-07-17T13:47:44.770475+00:00,prime,16,0,10.4
2025-07-17T13:47:45.771033+00:00,prime,16,0,10.4
